id,source,text,arguments
53,PERMUTATE,"Transduction of the marA region from a Mar strain has led to loss of OmpF, an atypical form of Tay-Sachs disease (GM2 gangliosidosis variant AB).","{'0': 'Transduction of the marA region from a Mar strain', '1': 'loss of OmpF'}"
54,PERMUTATE,Transduction of the marA region from a Mar strain led us to loss of OmpF.,"{'0': 'Transduction of the marA region from a Mar strain', '1': 'loss of OmpF'}"
55,PERMUTATE,Transduction of the marA region from a Mar strain led us to loss of OmpF.,"{'0': 'Transduction of the marA region from a Mar strain', '1': 'loss of OmpF'}"
56,PERMUTATE,a point mutation (GTC----ATC) at codon 383 leads to the conservative substitution of isoleucine for valine in the putative fifth extracellular loop of the transporter (Figure 3A).,"{'0': 'a point mutation (GTC----ATC) at codon 383', '1': 'the conservative substitution of isoleucine for valine in the putative fifth extracellular loop of the transporter'}"
57,PERMUTATE,phosphorylation of the MuSK NPXY site that leads to recruitment of a phosphotyrosine-binding domain-containing protein.,"{'0': 'phosphorylation of the MuSK NPXY site', '1': 'recruitment of a phosphotyrosine-binding domain-containing protein'}"
58,PERMUTATE,"phosphorylation of the MuSK NPXY site, in turn, led to recruitment of a phosphotyrosine-binding domain-containing protein independently of the DNA-binding activity of MEF2.","{'0': 'phosphorylation of the MuSK NPXY site', '1': 'recruitment of a phosphotyrosine-binding domain-containing protein'}"
59,PERMUTATE,the conservative substitution of isoleucine for valine in the putative fifth extracellular loop of the transporter was led to by a point mutation (GTC----ATC) at codon 383.,"{'0': 'a point mutation (GTC----ATC) at codon 383', '1': 'the conservative substitution of isoleucine for valine in the putative fifth extracellular loop of the transporter'}"
60,PERMUTATE,"the sequence selection experiment has led to the identification of the BRE, an atypical form of Tay-Sachs disease (GM2 gangliosidosis variant AB).","{'0': 'the sequence selection experiment', '1': 'the identification of the BRE'}"
61,PERMUTATE,the sequence selection experiment lead to the identification of the BRE.,"{'0': 'the sequence selection experiment', '1': 'the identification of the BRE'}"
62,PERMUTATE,the sequence selection experiment led us to the identification of the BRE.,"{'0': 'the sequence selection experiment', '1': 'the identification of the BRE'}"
63,REPLACE,"By direct sequencing of aberrant SSCA conformers were revealed 15 different mutations in a total of 18 unrelated families and 13 single patients. Of these, 10 were novel (G979A affected a splice consensus site at the end of exon 8, and G1488T in exon 14 which led to a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S), and 1 mutation predicted to affect normal splicing).","{'0': 'G979A affected a splice consensus site at the end of exon 8, and G1488T in exon 14', '1': 'a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S)'}"
64,REPLACE,"By direct sequencing of aberrant SSCA conformers were revealed 15 different mutations in a total of 18 unrelated families and 13 single patients. Of these, 10 were novel (G979A affects a splice consensus site at the end of exon 8, and G1488T in exon 14 that led to a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S), and 1 mutation predicted to affect normal splicing).","{'0': 'G979A affects a splice consensus site at the end of exon 8, and G1488T in exon 14', '1': 'a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S)'}"
65,REPLACE,"By direct sequencing of aberrant SSCA conformers were revealed 15 different mutations in a total of 18 unrelated families and 13 single patients. Of these, 10 were novel (a point mutation at the 5 splicing site of the third intron that lead to ligation of the second to the fourth exon, and 1 mutation predicted to affect normal splicing).","{'0': 'a point mutation at the 5 splicing site of the third intron', '1': 'ligation of the second to the fourth exon'}"
66,REPLACE,"By direct sequencing of aberrant SSCA conformers were revealed 15 different mutations in a total of 18 unrelated families and 13 single patients. Of these, 10 were novel (inactivation of the MEF2C gene that lead to cardiac morphogenetic defects, vascular abnormalities and lethality by embryonic day 9.5, and 1 mutation predicted to affect normal splicing).","{'0': 'inactivation of the MEF2C gene', '1': 'cardiac morphogenetic defects, vascular abnormalities and lethality by embryonic day 9.5'}"
67,REPLACE,"By direct sequencing of aberrant SSCA conformers were revealed 15 different mutations in a total of 18 unrelated families and 13 single patients. Of these, 10 were novel (inactivation of the MEF2C gene that lead to cardiac morphogenetic defects, vascular abnormalities and lethality by embryonic day 9.5, and 1 mutation predicted to affect normal splicing).","{'0': 'inactivation of the MEF2C gene', '1': 'cardiac morphogenetic defects, vascular abnormalities and lethality by embryonic day 9.5'}"
68,REPLACE,"By direct sequencing of aberrant SSCA conformers were revealed 15 different mutations in a total of 18 unrelated families and 13 single patients. Of these, 10 were novel (the distinct amino termini that led to the targeting of individual VDAC isoforms to different cellular compartments, and 1 mutation predicted to affect normal splicing).","{'0': 'the distinct amino termini', '1': 'the targeting of individual VDAC isoforms to different cellular compartments'}"
69,REPLACE,"By direct sequencing of aberrant SSCA conformers were revealed 15 different mutations in a total of 18 unrelated families and 13 single patients. Of these, 10 were novel (the distinct amino termini which lead to the targeting of individual VDAC isoforms to different cellular compartments, and 1 mutation predicted to affect normal splicing).","{'0': 'the distinct amino termini', '1': 'the targeting of individual VDAC isoforms to different cellular compartments'}"
70,REPLACE,"Disruption of the SNU246 gene in yeast has led us to a splicing defect in vivo, indicating that the protein is essential for splicing.","{'0': 'Disruption of the SNU246 gene in yeast', '1': 'a splicing defect in vivo, indicating that the protein is essential for splicing'}"
71,REPLACE,"Disruption of the SNU246 gene in yeast lead to a splicing defect in vivo, indicating that the protein is essential for splicing.","{'0': 'Disruption of the SNU246 gene in yeast', '1': 'a splicing defect in vivo, indicating that the protein is essential for splicing'}"
72,REPLACE,"Disruption of the SNU246 gene in yeast led to a splicing defect in vivo, indicating that the protein is essential for splicing (Figure 3A).","{'0': 'Disruption of the SNU246 gene in yeast', '1': 'a splicing defect in vivo, indicating that the protein is essential for splicing'}"
73,REPLACE,"Disruption of the SNU246 gene in yeast led us to a splicing defect in vivo, indicating that the protein is essential for splicing.","{'0': 'Disruption of the SNU246 gene in yeast', '1': 'a splicing defect in vivo, indicating that the protein is essential for splicing'}"
74,REPLACE,"Further, experiments with an antisense-ref cDNA expression vector introduced into cultured cells suggested that Disruption of the SNU246 gene in yeast led to a splicing defect in vivo, indicating that the protein is essential for splicing.","{'0': 'Disruption of the SNU246 gene in yeast', '1': 'a splicing defect in vivo, indicating that the protein is essential for splicing'}"
75,REPLACE,"Further, experiments with an antisense-ref cDNA expression vector introduced into cultured cells suggested that G979A affected a splice consensus site at the end of exon 8, and G1488T in exon 14 led to a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S).","{'0': 'G979A affected a splice consensus site at the end of exon 8, and G1488T in exon 14', '1': 'a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S)'}"
76,REPLACE,"Further, experiments with an antisense-ref cDNA expression vector introduced into cultured cells suggested that G979A affects a splice consensus site at the end of exon 8, and G1488T in exon 14 led to a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S).","{'0': 'G979A affects a splice consensus site at the end of exon 8, and G1488T in exon 14', '1': 'a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S)'}"
77,REPLACE,"Further, experiments with an antisense-ref cDNA expression vector introduced into cultured cells suggested that a C----A transversion in the splice acceptor sequence of the last intron of the only ERCC-3 allele was able to lead to a 4 bp insertion in the mRNA and an inactivating frameshift in the C-terminus of the protein.","{'0': 'a C----A transversion in the splice acceptor sequence of the last intron of the only ERCC-3 allele', '1': 'a 4 bp insertion in the mRNA and an inactivating frameshift in the C-terminus of the protein'}"
78,REPLACE,"Further, experiments with an antisense-ref cDNA expression vector introduced into cultured cells suggests that The splice mutation in 5 end of intron 5 leads to abnormal splice in exon 5 and exon 6.","{'0': 'The splice mutation in 5 end of intron 5', '1': 'abnormal splice in exon 5 and exon 6'}"
79,REPLACE,"G979A affected a splice consensus site at the end of exon 8, and G1488T in exon 14 leads us to a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S).","{'0': 'G979A affected a splice consensus site at the end of exon 8, and G1488T in exon 14', '1': 'a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S)'}"
80,REPLACE,"G979A affected a splice consensus site at the end of exon 8, and G1488T in exon 14 was caused by This which can lead to a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S).","{'0': 'G979A affected a splice consensus site at the end of exon 8, and G1488T in exon 14', '1': 'a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S)'}"
81,REPLACE,"G979A affects a splice consensus site at the end of exon 8, and G1488T in exon 14 led us to a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S).","{'0': 'G979A affects a splice consensus site at the end of exon 8, and G1488T in exon 14', '1': 'a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S)'}"
82,REPLACE,"The loss of TreR function G:C base pair is also the strongest determinant in This leading to derepression of treB (Lagrange et al., 1998).","{'0': 'The loss of TreR function', '1': 'derepression of treB'}"
83,REPLACE,"The loss of TreR function G:C base pair is also the strongest determinant in This which has led to derepression of treB (Lagrange et al., 1998).","{'0': 'The loss of TreR function', '1': 'derepression of treB'}"
84,REPLACE,The loss of TreR function can lead us to derepression of treB.,"{'0': 'The loss of TreR function', '1': 'derepression of treB'}"
85,REPLACE,The loss of TreR function has led to derepression of treB (Figure 3A).,"{'0': 'The loss of TreR function', '1': 'derepression of treB'}"
86,REPLACE,"The loss of TreR function is leading to derepression of treB, an atypical form of Tay-Sachs disease (GM2 gangliosidosis variant AB).","{'0': 'The loss of TreR function', '1': 'derepression of treB'}"
87,REPLACE,The loss of TreR function leads to derepression of treB.,"{'0': 'The loss of TreR function', '1': 'derepression of treB'}"
88,REPLACE,The loss of TreR function was caused by This leading to derepression of treB.,"{'0': 'The loss of TreR function', '1': 'derepression of treB'}"
89,REPLACE,"The loss of TreR function, in turn, is able to lead to derepression of treB independently of the DNA-binding activity of MEF2.","{'0': 'The loss of TreR function', '1': 'derepression of treB'}"
90,REPLACE,"The splice mutation in 5 end of intron 5 G:C base pair is also the strongest determinant in This which leads to abnormal splice in exon 5 and exon 6 (Lagrange et al., 1998).","{'0': 'The splice mutation in 5 end of intron 5', '1': 'abnormal splice in exon 5 and exon 6'}"
91,REPLACE,"The splice mutation in 5 end of intron 5 is leading to abnormal splice in exon 5 and exon 6, an atypical form of Tay-Sachs disease (GM2 gangliosidosis variant AB).","{'0': 'The splice mutation in 5 end of intron 5', '1': 'abnormal splice in exon 5 and exon 6'}"
92,REPLACE,The splice mutation in 5 end of intron 5 is leading to abnormal splice in exon 5 and exon 6.,"{'0': 'The splice mutation in 5 end of intron 5', '1': 'abnormal splice in exon 5 and exon 6'}"
93,REPLACE,The splice mutation in 5 end of intron 5 leads us to abnormal splice in exon 5 and exon 6.,"{'0': 'The splice mutation in 5 end of intron 5', '1': 'abnormal splice in exon 5 and exon 6'}"
94,REPLACE,The splice mutation in 5 end of intron 5 led to abnormal splice in exon 5 and exon 6.,"{'0': 'The splice mutation in 5 end of intron 5', '1': 'abnormal splice in exon 5 and exon 6'}"
95,REPLACE,"These data suggest that G979A affected a splice consensus site at the end of exon 8, and G1488T in exon 14 leads to a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S) that functions to stimulate phosphorylation and clustering of AchRs.","{'0': 'G979A affected a splice consensus site at the end of exon 8, and G1488T in exon 14', '1': 'a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S)'}"
96,REPLACE,"These data suggest that G979A affects a splice consensus site at the end of exon 8, and G1488T in exon 14 can lead to a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S) that functions to stimulate phosphorylation and clustering of AchRs.","{'0': 'G979A affects a splice consensus site at the end of exon 8, and G1488T in exon 14', '1': 'a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S)'}"
97,REPLACE,These data suggest that Growth of Escherichia coli in the presence of nitrate or nitrite leads to a 45% decrease in expression that functions to stimulate phosphorylation and clustering of AchRs.,"{'0': 'Growth of Escherichia coli in the presence of nitrate or nitrite', '1': 'a 45% decrease in expression'}"
98,REPLACE,These data suggest that The loss of TreR function has led to derepression of treB that functions to stimulate phosphorylation and clustering of AchRs.,"{'0': 'The loss of TreR function', '1': 'derepression of treB'}"
99,REPLACE,These data suggest that two frameshifts and a splice site mutation leads to truncated OA1 proteins; a deletion of a threonine codon at position 290; and four missense mutations that functions to stimulate phosphorylation and clustering of AchRs.,"{'0': 'two frameshifts and a splice site mutation', '1': 'truncated OA1 proteins; a deletion of a threonine codon at position 290; and four missense mutations'}"
100,REPLACE,"These data suggested that G979A affected a splice consensus site at the end of exon 8, and G1488T in exon 14 led to a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S) that functions to stimulate phosphorylation and clustering of AchRs.","{'0': 'G979A affected a splice consensus site at the end of exon 8, and G1488T in exon 14', '1': 'a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S)'}"
101,REPLACE,These data suggested that The loss of TreR function led to derepression of treB that functions to stimulate phosphorylation and clustering of AchRs.,"{'0': 'The loss of TreR function', '1': 'derepression of treB'}"
102,REPLACE,These data suggested that two frameshifts and a splice site mutation led to truncated OA1 proteins; a deletion of a threonine codon at position 290; and four missense mutations that functions to stimulate phosphorylation and clustering of AchRs.,"{'0': 'two frameshifts and a splice site mutation', '1': 'truncated OA1 proteins; a deletion of a threonine codon at position 290; and four missense mutations'}"
103,REPLACE,"This G:C base pair is also the strongest determinant in G979A affects a splice consensus site at the end of exon 8, and G1488T in exon 14 leading to a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S) (Lagrange et al., 1998).","{'0': 'G979A affects a splice consensus site at the end of exon 8, and G1488T in exon 14', '1': 'a replacement of a positive charge in a highly conserved putative transmembrane domain (R496S)'}"
104,REPLACE,"This G:C base pair is also the strongest determinant in The loss of TreR function which leads to derepression of treB (Lagrange et al., 1998).","{'0': 'The loss of TreR function', '1': 'derepression of treB'}"
105,REPLACE,"This G:C base pair is also the strongest determinant in The splice mutation in 5 end of intron 5 which has led to abnormal splice in exon 5 and exon 6 (Lagrange et al., 1998).","{'0': 'The splice mutation in 5 end of intron 5', '1': 'abnormal splice in exon 5 and exon 6'}"
106,REPLACE,"This G:C base pair is also the strongest determinant in a complex splice site mutation leading to an abnormal JAG1 mRNA, resulting in a premature stop codon (Lagrange et al., 1998).","{'0': 'a complex splice site mutation', '1': 'an abnormal JAG1 mRNA, resulting in a premature stop codon'}"
